"행정구역","2024년12월_총인구수","2024년12월_세대수","2024년12월_세대당 인구","2024년12월_남자 인구수","2024년12월_여자 인구수","2024년12월_남여 비율"
"서울특별시  (1100000000)","9,331,828","4,482,063","          2.08","4,505,355","4,826,473","          0.93"
"서울특별시 종로구 (1111000000)","138,336","72,166","          1.92","66,570","71,766","          0.93"
"서울특별시 종로구 청운효자동(1111051500)","11,030","4,954","          2.23","5,028","6,002","          0.84"
"서울특별시 종로구 사직동(1111053000)","8,962","4,557","          1.97","3,960","5,002","          0.79"
"서울특별시 종로구 삼청동(1111054000)","2,219","1,107","          2.00","1,065","1,154","          0.92"
"서울특별시 종로구 부암동(1111055000)","9,051","4,135","          2.19","4,247","4,804","          0.88"
"서울특별시 종로구 평창동(1111056000)","17,251","7,134","          2.42","7,997","9,254","          0.86"
"서울특별시 종로구 무악동(1111057000)","7,839","2,986","          2.63","3,590","4,249","          0.84"
"서울특별시 종로구 교남동(1111058000)","9,552","4,302","          2.22","4,389","5,163","          0.85"
"서울특별시 종로구 가회동(1111060000)","3,778","1,875","          2.01","1,770","2,008","          0.88"
"서울특별시 종로구 종로1.2.3.4가동(1111061500)","6,668","4,898","          1.36","4,001","2,667","          1.50"
"서울특별시 종로구 종로5.6가동(1111063000)","5,294","3,533","          1.50","2,781","2,513","          1.11"
"서울특별시 종로구 이화동(1111064000)","7,009","4,350","          1.61","3,272","3,737","          0.88"
"서울특별시 종로구 혜화동(1111065000)","15,822","9,138","          1.73","7,598","8,224","          0.92"
"서울특별시 종로구 창신제1동(1111067000)","4,495","2,653","          1.69","2,355","2,140","          1.10"
"서울특별시 종로구 창신제2동(1111068000)","7,333","3,910","          1.88","3,778","3,555","          1.06"
"서울특별시 종로구 창신제3동(1111069000)","6,231","2,731","          2.28","3,066","3,165","          0.97"
"서울특별시 종로구 숭인제1동(1111070000)","5,728","2,992","          1.91","2,769","2,959","          0.94"
"서울특별시 종로구 숭인제2동(1111071000)","10,074","6,911","          1.46","4,904","5,170","          0.95"
"서울특별시 중구 (1114000000)","120,544","64,995","          1.85","58,015","62,529","          0.93"
"서울특별시 중구 소공동(1114052000)","2,163","1,243","          1.74","1,002","1,161","          0.86"
"서울특별시 중구 회현동(1114054000)","4,301","2,480","          1.73","2,237","2,064","          1.08"
"서울특별시 중구 명동(1114055000)","2,529","1,331","          1.90","1,041","1,488","          0.70"
"서울특별시 중구 필동(1114057000)","4,341","2,780","          1.56","2,219","2,122","          1.05"
"서울특별시 중구 장충동(1114058000)","4,546","2,864","          1.59","2,363","2,183","          1.08"
"서울특별시 중구 광희동(1114059000)","5,727","3,949","          1.45","2,815","2,912","          0.97"
"서울특별시 중구 을지로동(1114060500)","3,095","2,113","          1.46","1,669","1,426","          1.17"
"서울특별시 중구 신당동(1114061500)","7,411","4,706","          1.57","3,599","3,812","          0.94"
"서울특별시 중구 다산동(1114062500)","13,030","6,724","          1.94","6,296","6,734","          0.93"
"서울특별시 중구 약수동(1114063500)","15,935","7,711","          2.07","7,318","8,617","          0.85"
"서울특별시 중구 청구동(1114064500)","12,397","5,896","          2.10","5,808","6,589","          0.88"
"서울특별시 중구 신당제5동(1114065000)","10,080","5,412","          1.86","4,894","5,186","          0.94"
"서울특별시 중구 동화동(1114066500)","9,828","3,981","          2.47","4,720","5,108","          0.92"
"서울특별시 중구 황학동(1114067000)","13,101","7,859","          1.67","6,156","6,945","          0.89"
"서울특별시 중구 중림동(1114068000)","12,060","5,946","          2.03","5,878","6,182","          0.95"
"서울특별시 용산구 (1117000000)","203,854","103,241","          1.97","97,469","106,385","          0.92"
"서울특별시 용산구 후암동(1117051000)","15,804","8,272","          1.91","7,591","8,213","          0.92"
"서울특별시 용산구 용산2가동(1117052000)","8,690","4,985","          1.74","4,269","4,421","          0.97"
"서울특별시 용산구 남영동(1117053000)","6,739","4,804","          1.40","4,104","2,635","          1.56"
"서울특별시 용산구 청파동(1117055500)","18,603","11,143","          1.67","8,619","9,984","          0.86"
"서울특별시 용산구 원효로제1동(1117056000)","17,020","9,347","          1.82","7,866","9,154","          0.86"
"서울특별시 용산구 원효로제2동(1117057000)","13,522","6,280","          2.15","6,362","7,160","          0.89"
"서울특별시 용산구 효창동(1117058000)","10,484","4,692","          2.23","4,906","5,578","          0.88"
"서울특별시 용산구 용문동(1117059000)","11,161","5,271","          2.12","5,265","5,896","          0.89"
"서울특별시 용산구 한강로동(1117062500)","20,901","11,223","          1.86","9,903","10,998","          0.90"
"서울특별시 용산구 이촌제1동(1117063000)","24,955","9,094","          2.74","11,680","13,275","          0.88"
