"행정구역","2025년02월_총인구수","2025년02월_세대수","2025년02월_세대당 인구","2025년02월_남자 인구수","2025년02월_여자 인구수","2025년02월_남여 비율"
"서울특별시  (1100000000)","9,334,828","4,492,425","          2.08","4,505,412","4,829,416","          0.93"
"서울특별시 종로구 (1111000000)","138,277","72,319","          1.91","66,531","71,746","          0.93"
"서울특별시 종로구 청운효자동(1111051500)","11,007","4,934","          2.23","5,007","6,000","          0.83"
"서울특별시 종로구 사직동(1111053000)","8,949","4,569","          1.96","3,954","4,995","          0.79"
"서울특별시 종로구 삼청동(1111054000)","2,200","1,103","          1.99","1,058","1,142","          0.93"
"서울특별시 종로구 부암동(1111055000)","9,020","4,114","          2.19","4,233","4,787","          0.88"
"서울특별시 종로구 평창동(1111056000)","17,254","7,141","          2.42","7,992","9,262","          0.86"
"서울특별시 종로구 무악동(1111057000)","7,840","2,982","          2.63","3,591","4,249","          0.85"
"서울특별시 종로구 교남동(1111058000)","9,502","4,296","          2.21","4,355","5,147","          0.85"
"서울특별시 종로구 가회동(1111060000)","3,774","1,867","          2.02","1,766","2,008","          0.88"
"서울특별시 종로구 종로1.2.3.4가동(1111061500)","6,646","4,903","          1.36","3,997","2,649","          1.51"
"서울특별시 종로구 종로5.6가동(1111063000)","5,287","3,542","          1.49","2,770","2,517","          1.10"
"서울특별시 종로구 이화동(1111064000)","7,000","4,363","          1.60","3,264","3,736","          0.87"
"서울특별시 종로구 혜화동(1111065000)","15,935","9,232","          1.73","7,667","8,268","          0.93"
"서울특별시 종로구 창신제1동(1111067000)","4,505","2,670","          1.69","2,359","2,146","          1.10"
"서울특별시 종로구 창신제2동(1111068000)","7,295","3,903","          1.87","3,754","3,541","          1.06"
"서울특별시 종로구 창신제3동(1111069000)","6,226","2,748","          2.27","3,054","3,172","          0.96"
"서울특별시 종로구 숭인제1동(1111070000)","5,733","3,004","          1.91","2,776","2,957","          0.94"
"서울특별시 종로구 숭인제2동(1111071000)","10,104","6,948","          1.45","4,934","5,170","          0.95"
"서울특별시 중구 (1114000000)","120,119","64,932","          1.85","57,833","62,286","          0.93"
"서울특별시 중구 소공동(1114052000)","2,182","1,245","          1.75","1,009","1,173","          0.86"
"서울특별시 중구 회현동(1114054000)","4,286","2,481","          1.73","2,231","2,055","          1.09"
"서울특별시 중구 명동(1114055000)","2,495","1,316","          1.90","1,021","1,474","          0.69"
"서울특별시 중구 필동(1114057000)","4,345","2,793","          1.56","2,228","2,117","          1.05"
"서울특별시 중구 장충동(1114058000)","4,571","2,911","          1.57","2,379","2,192","          1.09"
"서울특별시 중구 광희동(1114059000)","5,754","3,992","          1.44","2,833","2,921","          0.97"
"서울특별시 중구 을지로동(1114060500)","3,084","2,111","          1.46","1,661","1,423","          1.17"
"서울특별시 중구 신당동(1114061500)","7,351","4,672","          1.57","3,573","3,778","          0.95"
"서울특별시 중구 다산동(1114062500)","13,042","6,750","          1.93","6,307","6,735","          0.94"
"서울특별시 중구 약수동(1114063500)","15,883","7,693","          2.06","7,300","8,583","          0.85"
"서울특별시 중구 청구동(1114064500)","12,086","5,766","          2.10","5,660","6,426","          0.88"
"서울특별시 중구 신당제5동(1114065000)","10,058","5,408","          1.86","4,884","5,174","          0.94"
"서울특별시 중구 동화동(1114066500)","9,836","3,985","          2.47","4,720","5,116","          0.92"
"서울특별시 중구 황학동(1114067000)","13,115","7,879","          1.66","6,166","6,949","          0.89"
"서울특별시 중구 중림동(1114068000)","12,031","5,930","          2.03","5,861","6,170","          0.95"
"서울특별시 용산구 (1117000000)","203,550","103,226","          1.97","97,264","106,286","          0.92"
"서울특별시 용산구 후암동(1117051000)","15,734","8,254","          1.91","7,549","8,185","          0.92"
"서울특별시 용산구 용산2가동(1117052000)","8,635","4,985","          1.73","4,244","4,391","          0.97"
"서울특별시 용산구 남영동(1117053000)","6,728","4,801","          1.40","4,106","2,622","          1.57"
"서울특별시 용산구 청파동(1117055500)","18,552","11,164","          1.66","8,578","9,974","          0.86"
"서울특별시 용산구 원효로제1동(1117056000)","17,053","9,383","          1.82","7,869","9,184","          0.86"
"서울특별시 용산구 원효로제2동(1117057000)","13,524","6,286","          2.15","6,347","7,177","          0.88"
"서울특별시 용산구 효창동(1117058000)","10,533","4,717","          2.23","4,939","5,594","          0.88"
"서울특별시 용산구 용문동(1117059000)","11,149","5,271","          2.12","5,264","5,885","          0.89"
